,uid,title,pubyear,doi,journal,authors,abstract
706,2033009788,cultural capital theory a study of children enrolled in rural and urban head start programmes,2015,10.1080/03004430.2014.1000886,Early Child Development and Care,"Kathryn E. Bojczyk, Heather Rogers-Haverback, Hye K. Pae, Anna E. Davis, Rihana S. Mason","Children from different backgrounds have disparate access to cultural capital, which may influence their academic success. The purpose of this study was to examine the links between family background, home literacy experiences, and emergent literacy skills among preschoolers enrolled in Head Start programmes. The background characteristics studied included urbanicity, maternal education, ethnicity, and family size among 112 preschool children (59 rural and 53 urban, M age = 56.78 months). Findings showed that rural and urban preschoolers may have similar literacy abilities. However, when maternal education was controlled for, family background variables and components of the home literacy environment predicted emergent literacy skills differently for the two groups. Moreover, mother's active involvement and the child's own engagement in literacy seemed to play a salient role in early literacy development across groups."
707,2033026320,continuity and change in the home literacy environment as predictors of growth in vocabulary and reading,2014,10.1111/cdev.12222,Child Development,"Monique Sénéchal, Jo-Anne LeFevre","One hundred and ten English-speaking children schooled in French were followed from kindergarten to Grade 2 (Mage :T 1= 5;6, T2 = 6;4, T3 = 6;11, T4 = 7;11). The findings provided strong support for the Home Literacy Model (Senechal & LeFevre, 2002) because in this sample the home language was independent of the language of instruction. The informal literacy environment at home predicted growth in English receptive vocabulary from kindergarten to Grade 1, whereas parent reports of the formal literacy environment in kindergarten predicted growth in children’s English early literacy between kindergarten and Grade 1 and growth in English word reading during Grade 1. Furthermore, 76% of parents adjusted their formal literacy practices according to the reading performance of their child, in support of the presence of a responsive home literacy curriculum among middle-class parents. Young children enter Grade 1 with a variety of skills that facilitate their acquisition of reading. Individual differences in the quality of these skills are present early and remain relatively stable over time (e.g., Butler, Marsh, Sheppard, & Sheppard, 1985). Children who struggle with learning to read in Grade 1 often have difficulty in other school domains, and are less likely than their peers to complete high school or pursue education beyond high school (Alexander, Entwisle, & Horsey, 1997; Entwisle, Alexander, & Olson, 2005). Given the stability of the pathways toward efficient reading and academic success, it is essential to understand the development of these differences so that intervention can be done early (Hart & Petrill, 2009; Landry, Smith, Swank, & Guttentag, 2008). In this research, we examined the role of the home literacy environment in prediction of language and literacy development for young English-speaking children as they entered kindergarten, learned to read in Grade 1, and became more fluent readers in Grade 2. The novelty of this research is that the children were schooled in French but spoke English at home, thus allowing for a test of the relation between English home literacy activities and the children’s progress in English literacy that was independent of schoolbased English language instruction."
708,2033062589,oral and hand movement speeds are associated with expressive language ability in children with speech sound disorder,2012,10.1007/s10936-012-9199-1,Journal of Psycholinguistic Research,Beate Peter,"This study tested the hypothesis that children with speech sound disorder have generalized slowed motor speeds. It evaluated associations among oral and hand motor speeds and measures of speech (articulation and phonology) and language (receptive vocabulary, sentence comprehension, sentence imitation), in 11 children with moderate to severe SSD and 11 controls. Syllable durations from a syllable repetition task served as an estimate of maximal oral movement speed. In two imitation tasks, nonwords and clapped rhythms, unstressed vowel durations and quarter-note clap intervals served as estimates of oral and hand movement speed, respectively. Syllable durations were significantly correlated with vowel durations and hand clap intervals. Sentence imitation was correlated with all three timed movement measures. Clustering on syllable repetition durations produced three clusters that also differed in sentence imitation scores. Results are consistent with limited movement speeds across motor systems and SSD subtypes defined by motor speeds as a corollary of expressive language abilities."
709,2033183868,advances in early years screening for dyslexia in the united kingdom,1998,10.1007/s11881-998-0004-7,Annals of Dyslexia,"Angela J. Fawcett, C. H. Singleton, L. Peer","In this article, we describe two United Kingdom (UK) screening tests for dyslexia: the Dyslexia Early Screening Test (DEST) and the Cognitive Profiling System (CoPS 1), both normed and designed to be administered by teachers to children four years and older. We first outline the political context in the UK, which for the first time, makes the use of such tests viable. We then outline the research programs behind and the components of each test; reliability and validity are also discussed. Information is presented on the tests in use. We conclude that tests such as these have the potential to identify children as at risk before they fail, halting the cycle of emotional and motivational problems traditionally associated with dyslexia. Both tests are appropriate for use in the United States, and initial reactions from the education sector have been favorable."
710,2033379068,evidence based practice response to intervention and the prevention of reading difficulties,2006,10.1044/0161-1461(2006/033,Language Speech and Hearing Services in Schools,Laura M. Justice,
711,2033389971,language basis of reading and reading disabilities evidence from a longitudinal investigation,1999,10.1207/s1532799xssr0304_2,Scientific Studies of Reading,"Hugh W. Catts, Marc E. Fey, Xuyang Zhang, J. Bruce Tomblin","This study examined the contributions of phonological processing and oral language abilities to reading and reading disabilities in young children. Two approaches were taken. First, 604 participants were divided into good and poor readers on the basis of reading performance in second grade. Reading groups were then compared in terms of kindergarten phonological processing and other language abilities. In a second approach, multiple regression was employed to investigate the relative contributions of phonological processing and oral language abilities in predicting second-grade reading achievement across reading groups. Results indicated that over 70% of poor readers had a history of language deficits in kindergarten. Most of these children had problems in both phonological processing and oral language. Regression analyses further indicated that oral language and phonological processing abilities each accounted for unique variance in reading achievement. These results suggest that language-based theories o..."
712,2033411391,kesan penggunaan perisian asas membaca terhadap pencapaian membaca murid peringkat prasekolah,2014,10.1016/j.sbspro.2014.04.262,Procedia - Social and Behavioral Sciences,"Suraya Tarasat, Aisah Daud","Abstrak Membaca merupakan satu kemahiran asas yang sangat penting dan perlu dikuasai oleh murid-murid bagi membolehkan mereka mengikuti dan menguasai mata-mata pelajaran yang lain seperti Sains, Matematik dan lain-lain. Walau bagaimanapun, hasil daripada kajian-kajian yang dijalankan menunjukkan bahawa kebanyakan murid di sekolah rendah masih belum dapat menguasai kemahiran membaca. Jadi, kajian ini bertujuan untuk melihat kesan penggunaan perisian asas membaca terhadap pencapaian asas membaca murid-murid peringkat prasekolah. Kajian ini dijalankan dengan menggunakan kaedah kuasi-eksperimen yang melibatkan seramai 22 orang sampel murid prasekolah di sebuah sekolah di Daerah Brunei dan Muara. Sampel kajian ini dibahagikan kepada dua kumpulan, iaitu kumpulan eksperimen yang diajar dengan menggunakan perisian asas membaca (PAM) dan kumpulan kawalan yang diajar secara pengajaran tradisional (PT). Hasil dapatan kajian menunjukkan bahawa terdapat perbezaan yang signifikan dalam pencapaian keseluruhan kemahiran asas membaca di antara murid kumpulan eksperimen dengan murid kumpulan kawalan. Dapatan kajian ini menunjukkan bahawa penggunaan perisian asas membaca berkesan dalam membantu meningkatkan pencapaian asas membaca murid-murid peringkat prasekolah. Selain itu, hasil kajian ini telah memberikan implikasi kepada pengajaran guru dan pembelajaran murid."
713,2033486753,depression is a neurologic disease,2009,10.1177/0883073809340923,Journal of Child Neurology,Roger A. Brumback,
714,2034211243,reaching for success a close up of mexican immigrant parents in the usa who foster literacy success for their kindergarten children,2004,10.1177/1468798404044513,Journal of Early Childhood Literacy,"Cristina Gillanders, Robert T. Jiménez","The purpose of this study was to examine the home environment of immigrant Mexican kindergarteners of low socio-economic status in the USA who display high levels of emergent literacy when compared to their peers. To examine the home environments, the study focused on the literacy beliefs and practices of four families. Findings highlight the role of parental active support and corresponding literacy practices at home, as promoters of positive effects of bilingualism and consequently literacy learning. In addition, the school’s use of Spanish facilitated the dynamic of the families’ belief in active support of their children’s literacy learning and subsequent literacy practices."
715,2034546367,development of word reading fluency and spelling in a consistent orthography an 8 year follow up,2008,10.1037/0022-0663.100.1.150,Journal of Educational Psychology,"Karin Landerl, Heinz Wimmer","In a longitudinal study, development of word reading fluency and spelling were followed for almost 8 years. In a group of 115 students (65 girls, 50 boys) acquiring the phonologically transparent German orthography, prediction measures (letter knowledge, phonological short-term memory, phonological awareness, rapid automatized naming, and nonverbal IQ) were assessed at the beginning of Grade 1; reading fluency and spelling were tested at the end of Grade 1 as well as in Grades 4 and 8. Reading accuracy was close to ceiling in all reading assessments, such that reading fluency was not heavily influenced by differences in reading accuracy. High stability was observed for word reading fluency development. Of the dysfluent readers in Grade 1, 70% were still poor readers in Grade 8. For spelling, children who at the end of Grade 1 still had problems translating spoken words into phonologically plausible letter sequences developed problems with orthographic spelling later on. The strongest specific predictors were rapid automatized naming for reading fluency and phonological awareness for spelling. Word recognition speed was a relevant and highly stable indicator of reading skills and the only indicator that discriminated reading skill levels in consistent orthographies. Its long-term development was more strongly influenced by early naming speed than by phonological awareness."
716,2034557899,early predictors of future reading skills a follow up of french speaking children from the beginning of kindergarten to the end of the second grade age 5 to 8,2013,10.4074/S0003503313014012,Annee Psychologique,"Agnès Piquard-Kipffer, Liliane Sprenger-Charolles","We reported the results of two studies on the early predictors of future reading skills. The main goal of the first study was to examine whether reading level at age 8 can be predicted on the basis of a skill very rarely examined in longitudinal studies: phonemic discrimination. Two groups of French-speaking children were selected based on their phonemic discrimination skills at age 5: a group with low skills and a group with average to high skills in that domain. These two groups were respectively classified as being ""at-risk"" and ""not-at-risk"" for reading acquisition, and were matched on chronological age, nonverbal IQ and vocabulary. Phonemic discrimination was found to be an important predictor of reading acquisition. Indeed, the two groups defined at age 5 based on their phonemic discrimination skills obtained significantly different reading scores at age 8, and the proportion of children with reading disabilities was higher in the at-risk group than in the not-at-risk group. The main goal of the second study was to assess whether reading skills at age 8 could be predicted by the ""classical"" predictors of reading acquisition assessed at age 5: pre-reading level, letter-name knowledge, phonemic segmentation and phonological short-term-memory (STM). A high proportion of the variance in reading at age 8 (52.8%) was predicted by these predictors, with four contributing unique and significant portions of that variance: pre-reading level, letter-name knowledge for vowels (not for consonants), phonemic segmentation (not syllabic segmentation) and phonological STM."
717,2034836290,ran and double deficit theory,2013,10.1177/0022219411413544,Journal of Learning Disabilities,Virginia S. Cronin,"Lervag and Hulme’s neuro-developmental theory and Wolf and Bowers’s double-deficit hypothesis were examined in this longitudinal study. A total of 130 children were tested in preschool and followed through fifth grade, when 84 remained in the study. During preschool and kindergarten the participants were given tests of end-sound discrimination (phonological awareness; PA) and the rapid naming of objects (rapid automatic naming; RAN) and were placed into the four groupings of the double-deficit hypothesis. The growth curves for the four groups with the subtests of word reading, pseudoword reading, and comprehension supported the double-deficit hypothesis. The RAN objects scores of preschool and kindergarten predicted reading at every age level and offered support for Lervag and Hulme’s neuro-developmental theory. It was concluded that both RAN and PA predicted reading in the English language throughout the elementary school years and that the early assessments of these variables were more diagnostic than m..."
718,2034887128,parent child joint book readingan observational protocol for young children,1998,10.1044/1058-0360.0701.33,American Journal of Speech-language Pathology,"Joan N. Kaderavek, Elizabeth Sulzby",
719,2035011869,phonological awareness and types of sound errors in preschoolers with speech sound disorders,2010,10.1044/1092-4388(2009/09-0021,Journal of Speech Language and Hearing Research,"Jonathan L. Preston, Mary Louise Edwards","Purpose—Some children with speech sound disorders (SSD) have difficulty with literacy-related skills, particularly phonological awareness (PA). This study investigates the PA skills of preschoolers with SSD using a regression model to evaluate the degree to which PA can be concurrently predicted by types of speech sound errors. Method—Preschoolers with SSD (n=43) participated in PA and speech sound production assessment. Errors from a 125-item picture naming task were coded in two ways: (1) considering all consonant errors equally (Percent Consonants Correct, PCC), and (2) using a three-category system that captures component features of sound errors: typical sound changes, atypical sound changes, and distortions. PA tasks included rhyme matching, onset matching, onset segmentation and matching, and blending. Results—Variance in a PA composite score could be predicted partly by vocabulary and age (33%). Atypical sound changes accounted for an additional 6% of variance in PA, but distortions and typical errors did not account for significant variance. When the same consonant errors were analyzed using PCC, speech errors did not predict significant variance in PA. Conclusions—Poorer PA is associated with lower receptive vocabularies and more atypical sound errors. Results are interpreted in the context of the accuracy of phonological representations."
720,2035073007,the complex nature of reading fluency a multidimensional view,2008,10.1080/10573560802491208,Reading & Writing Quarterly,"Roxanne F. Hudson, Paige C. Pullen, Holly B. Lane, Joseph K. Torgesen","Reading fluency is commonly defined as reading accurately at a quick rate with appropriate prosody—a simple sounding definition. In fact, this definition hides complex processes and skills needed to produce the seemingly effortless performance of a fluent reader. Using both theory and empirical research, the presence and role of underlying processes and knowledge such as decoding fluency, processing speed, vocabulary, letter sound fluency, and sight word fluency are discussed. In doing this, we explain the elements needed for fluent reading and how they relate to each other in a multilayered fashion in young readers, and discuss the implications of this model in the development and assessment of reading fluency."
721,2035130995,ten principles of grammar facilitation for children with specific language impairments,2003,10.1044/1058-0360(2003/048,American Journal of Speech-language Pathology,"Marc E. Fey, Steven Long, Lizbeth H. Finestack",
722,2035307316,the cognitive and linguistic foundations of early reading development a norwegian latent variable longitudinal study,2009,10.1037/a0014132,Developmental Psychology,"Arne Lervåg, Ivar Bråten, Charles Hulme","The authors present the results of a 2-year longitudinal study of 228 Norwegian children beginning some 12 months before formal reading instruction began. The relationships between a range of cognitive and linguistic skills (letter knowledge, phoneme manipulation, visual-verbal paired-associate learning, rapid automatized naming (RAN), short-term memory, and verbal and nonverbal ability) were investigated and related to later measures of word recognition in reading. Letter knowledge, phoneme manipulation, and RAN were independent longitudinal predictors of early reading (word recognition) skills in the regular Norwegian orthography. Early reading skills initially appeared well described as a unitary construct that then showed rapid differentiation into correlated subskills (word decoding, orthographic choice, text reading, and nonword reading) that showed very high levels of longitudinal stability. The results are related to current ideas about the cognitive foundations of early reading skills."
723,2035353554,toward a comprehensive view of the skills involved in word reading in grades 4 6 and 8,2009,10.1016/j.jecp.2008.01.004,Journal of Experimental Child Psychology,"A.A. Roman, John R. Kirby, Rauno Parrila, Lesly Wade-Woolley, S.H. Deacon","Research to date has proposed four main variables involved in reading development: phonological awareness, naming speed, orthographic knowledge, and morphological awareness. Although each of these variables has been examined in the context of one or two of the other variables, this study examines all four factors together to assess their unique contribution to reading. A sample of children in Grades 4, 6, and 8 (ages 10, 12, and 14 years) completed a battery of tests that included at least one measure of each of the four variables and two measures of reading accuracy. Phonological awareness, orthographic knowledge, and morphological awareness each contributed uniquely to real word and pseudoword reading beyond the other variables, whereas naming speed did not survive these stringent controls. The results support the sustained importance of these three skills in reading by older readers."
724,2035356130,shared book reading and children s language comprehension skills the moderating role of parental discipline practices,2004,10.1016/j.ecresq.2004.04.007,Early Childhood Research Quarterly,"Scott D. Gest, Nicole R Freeman, Celene E. Domitrovich, Janet A. Welsh","Parental discipline practices, parent–child shared book reading and children’s emergent literacy skills were assessed among 76 parents and their children in the summer before the children started Kindergarten. Parents provided narrative responses to open-ended questions about how they would handle common discipline challenges with children and rated their likelihood of using physical punishment. Parents also reported the number of books they read with their children each week and completed a checklist assessing their familiarity with the titles and authors of children’s books. Children’s emergent literacy skills were assessed with individually administered tests. Analyses of covariance indicated that shared book reading was reliably associated with children’s language comprehension skills only among parents whose responses to discipline scenarios included relatively high levels of nondirective reasoning. Parents who expressed a willingness to consider physical punishment had children with lower language comprehension skills regardless of the quantity of shared book reading. These effects were reliable after taking into account the effects of parental education and children’s nonverbal reasoning skills."
725,2035443931,longitudinal studies of phonological processing and reading,1994,10.1177/002221949402700503,Journal of Learning Disabilities,"Joseph K. Torgesen, Richard K. Wagner, Carol A. Rashotte",
726,2035480835,phonological skills and their role in learning to read a meta analytic review,2012,10.1037/a0026744,Psychological Bulletin,"Monica Melby-Lervåg, Solveig-Alma Halaas Lyster, Charles Hulme","The authors report a systematic meta-analytic review of the relationships among 3 of the most widely studied measures of children’s phonological skills (phonemic awareness, rime awareness, and verbal short-term memory) and children’s word reading skills. The review included both extreme group studies and correlational studies with unselected samples (235 studies were included, and 995 effect sizes were calculated). Results from extreme group comparisons indicated that children with dyslexia show a large deficit on phonemic awareness in relation to typically developing children of the same age (pooled effect size estimate: 1.37) and children matched on reading level (pooled effect size estimate: 0.57). There were significantly smaller group deficits on both rime awareness and verbal short-term memory (pooled effect size estimates: rime skills in relation to age-matched controls, 0.93, and reading-level controls, 0.37; verbal short-term memory skills in relation to age-matched controls, 0.71, and reading-level controls, 0.09). Analyses of studies of unselected samples showed that phonemic awareness was the strongest correlate of individual differences in word reading ability and that this effect remained reliable after controlling for variations in both verbal short-term memory and rime awareness. These findings support the pivotal role of phonemic awareness as a predictor of individual differences in reading development. We discuss whether such a relationship is a causal one and the implications of research in this area for current approaches to the teaching of reading and interventions for children with reading difficulties."
727,2035557977,auditory backward recognition masking in children with a specific language impairment and children with a specific reading disability,2001,10.1121/1.1338559,Journal of the Acoustical Society of America,"Genevieve McArthur, John H. Hogben","The auditory backward recognition masking (ABRM) and intensity discrimination (ID) thresholds of children with a specific language impairment and poor reading (SLI-poor readers), children with an SLI and average reading (SLI-average readers), children with a specific reading disability and average spoken language skills (SRD-average language), and children with normal spoken and written language (controls) were estimated with “child-friendly” psychophysical tasks. The pattern of ABRM and ID scores suggests that a subset of children with concomitant oral language and reading impairments has poor ABRM thresholds, and that a subgroup of children with an SLI or SRD has poorer ID thresholds than controls. The latter result warns against using rapid auditory processing tasks that do not actively control for auditory discrimination ability. Further, some unusually poor ABRM scores and ID scores question the validity of extreme scores produced by children on psychophysical tasks. Finally, the poor oral language scores of many of the children who had impaired reading highlight the need to test the oral language skills of SRD samples to ascertain how homogeneous and specifically disabled they really are."
728,2035683668,role of gender and linguistic diversity in word decoding development,2011,10.1016/j.lindif.2011.02.004,Learning and Individual Differences,"Ludo Verhoeven, Jan van Leeuwe","The purpose of the present study was to investigate the role of gender and linguistic diversity in the growth of Dutch word decoding skills throughout elementary school for a representative sample of children living in the Netherlands. Following a longitudinal design, the children's decoding abilities for (1) regular CVC words, (2) complex monosyllabic words with consonant clusters in prevocalic and postvocalic position, and (3) polysyllabic words were assessed on two occasions during every grade. The results showed substantial growth across grade for all of the word decoding measures. Growth curve analyses showed a quadratic rather than a linear growth curve to optimally model the children's word decoding development. Small but significant effects of gender and linguistic diversity were observed: Girls generally did better than boys — mainly on the regular CVC word patterns. And children learning to read in Dutch as a first language generally did better than children learning to read Dutch as a second language — mainly on polysyllabic words. From a structural point of view, the development of word decoding in the different subgroups turned out to be highly comparable. Irrespective of gender and linguistic diversity, the three measures of word decoding strongly intercorrelated but also showed some unique variance. Moreover, a high degree of autoregression applied to the children's word decoding development over the school grades."
729,2035836077,telling stories and making books evidence for an intervention to help parents in migrant head start families support their children s language and literacy,2010,10.1080/10409281003631142,Early Education and Development,"Lisa Boyce, M. S. Innocenti, Lori A. Roggman, Vonda Jump Norman, E. Ortiz","Research Findings: In this study, 75 Spanish-speaking preschoolers (M age = 41.43 months, SD = 10.78 months; 30 girls) attending a Migrant Head Start program were randomly assigned to receive the Storytelling for the Home Enrichment of Language and Literacy Skills (SHELLS) in addition to their Head Start services (n = 32) or to continue to receive their typical Head Start services (n = 43). Mothers' language-supporting behavior and home language and literacy environment as well as children's total number of words and total number of different words used during a shared narrative were assessed before and after the intervention. Mothers in the SHELLS group, compared with mothers in the comparison group, were significantly more likely to increase their use of language elicitation strategies and the quality of their home language and literacy environment. Children in the SHELLS group, compared with children in the comparison group, were significantly more likely to increase the number of total words and diffe..."
730,2035846038,rapid naming speed components and early reading acquisition,2006,10.1207/s1532799xssr1002_4,Scientific Studies of Reading,"George K. Georgiou, Rauno Parrila, John R. Kirby","This study examines how rapid automatized naming (RAN) components–articulation time and pause time–develop from kindergarten to the end of first grade and how RAN components are related to different reading measures and to RAN total time. Sixty-two children were administered RAN tasks in kindergarten and at the beginning and end of Grade 1. Performance on color and letter naming was recorded and analyzed. Reading accuracy and reading fluency measures were used as the criterion variables. Results indicated that pause time was highly stable from kindergarten to the end of Grade 1, developed significantly, and was highly correlated with both reading accuracy and reading fluency measures. Articulation time was less stable, did not develop, and was only weakly correlated with the reading measures."
731,2036161103,categorizing sounds and learning to read a causal connection,1983,10.1038/301419a0,Nature,"L. Bradley, P. E. Bryant",
732,2036333156,genetic and environmental mediation of the prediction from preschool language and nonverbal ability to 7 year reading,2006,10.1111/j.1467-9817.2006.00292.x,Journal of Research in Reading,"Marianna E. Hayiou-Thomas, Nicole Harlaar, Philip S. Dale, Robert Plomin","We use a genetically sensitive design to examine the relationship between language and nonverbal ability at 4½ and reading skills at 7 years of age in a sample of more than 1,000 children participating in the Twins Early Development Study. We find that nonphonological as well as phonological measures of early language make significant contributions towards the prediction of reading at 7, and that nonverbal ability at 4½ is an equally strong predictor. With respect to aetiology, we find substantial genetic contributions towards the relationship between early language skills and reading at 7, as well as a trend towards shared environmental influences. The genetic continuity is not specific to the verbal domain, however, as we also find a substantial genetic relationship between nonverbal ability at 4½ and reading at 7."
733,2036410941,assessing preschoolers emergent literacy skills in english and spanish with the get ready to read screening tool,2007,10.1007/s11881-007-0007-9,Annals of Dyslexia,"Jo Ann M. Farver, Jonathan Nakamoto, Christopher J. Lonigan","This study investigated the ability of the English and Spanish versions of the Get Ready to Read! Screener (E-GRTR and S-GRTR) administered at the beginning of the preschool year to predict the oral language and phonological and print processing skills of Spanish-speaking English-language learners (ELLs) and English-only speaking children (EO) at the end of the year. The results revealed that the E-GRTR predicted the EO and ELL children’s English emergent literacy skills and the ELL children’s Spanish emergent literacy skills, and the S-GRTR predicted the ELL children’s English and Spanish emergent literacy skills. For both groups, the E-GRTR and the S-GRTR were better at predicting children’s print knowledge in English and Spanish compared to the other emergent literacy measures. The findings suggest that both screeners can be used effectively to assess preschool children’s emergent literacy skills."
734,2037109686,the relationship between home literacy practices and developmental trajectories of emergent literacy and conventional literacy skills for korean children,2009,10.1007/s11145-007-9103-9,Reading and Writing,Young-Suk Kim,"Previous studies with English-speaking families in the North American context demonstrated that home literacy practices have positive influences on children’s literacy acquisition. The present study expands previous studies by examining how home literacy practices are related to growth trajectories of emergent literacy skills (i.e., vocabulary, letter-name knowledge, and phonological awareness) and conventional literacy skills (i.e., word reading, pseudoword reading, and spelling), and by using data from Korean children and families (N = 192). The study revealed two dimensions of home literacy practices, home reading and parent teaching. Frequent reading at home was positively associated with children’s emergent literacy skills as well as conventional literacy skills in Korean. However, children whose parents reported more frequent teaching tended to have low scores in their phonological awareness, vocabulary, word reading and pseudoword reading after accounting for home reading. These results suggest a bidirectional relationship between home literacy practices, parent teaching in particular, and children’s literacy skills such that parents adjust their teaching in response to their child’s literacy acquisition. Furthermore, cultural variation in views on parent teaching may explain these results."
735,2037131227,suprasegmental phonology development and reading acquisition a longitudinal study,2015,10.1080/10888438.2014.976342,Scientific Studies of Reading,"Nuria Calet, Nicolás Gutiérrez-Palma, Ian C. Simpson, M. Carmen González-Trujillo, Sylvia Defior","Previous studies implicate suprasegmental phonology in reading acquisition. However, little is known about how suprasegmental sensitivity develops or how it contributes to reading. Here, 130 Spanish primary-school children participated in this 2-year longitudinal study. Nonlinguistic rhythm, lexical-stress sensitivity and metrical-stress sensitivity, along with phonological awareness, vocabulary, nonverbal intelligence, and reading aloud, were assessed on five occasions. Results suggest that prosody abilities have different developmental trajectories and that prosody explains unique variance in reading beyond that explained by other factors. There was some evidence that the contribution of each prosody skill occurred at different phases in reading development. Nonlinguistic rhythm, lexical-stress sensitivity, and metrical-stress sensitivity assessed at the end of kindergarten, the start of Grade 1, and the end of Grade 1, respectively, predicted reading performance 6 months later. Nevertheless, sample siz..."
736,2037608884,speed of processing in children with specific language impairment,2001,10.1044/1092-4388(2001/034,Journal of Speech Language and Hearing Research,"Carol A. Miller, Robert Kail, Laurence B. Leonard, J. Bruce Tomblin","The aim of the present study was to investigate the speed with which children with specific language impairment (SLI) respond on a range of tasks. Seventy-seven third-grade children participated in 10 different tasks (involving a total of 41 conditions), including nonlinguistic and linguistic activities. Mean response times (RTs) of children with SLI (n = 29) increased as a function of mean RTs of children with normal language (NLD, n = 29) under each of three different regression models; children with SLI responded more slowly across all task conditions, and also when linguistic and nonlinguistic tasks were analyzed separately. Children with nonspecific language impairment (NLI) were also included (n = 19). The results were similar to those for children with SLI, but the degree of slowing was greater. The results of the group analyses support the hypothesis that speed of processing in children with SLI is generally slower than that of children with normal language. However, some children with SLI do not appear to show deficits of this type."
737,2037693308,the science of reading a handbook,2005,10.1111/b.9781405114882.2005.x,European Psychologist,"Margaret J. Snowling, Charles Hulme","List of Contributors. Preface. Acknowledgments. Part I: Word Recognition Processes in Reading:. Editorial Part I. 1. Modelling Reading: The Dual-Route Approach: Max Coltheart (Macquarie University, Australia). 2. Connectionist Approaches to Reading: David C. Plaut (Carnegie Mellon University). 3. Visual Word Recognition: Theories and Findings: Stephen J. Lupker (University of Western Ontario). 4. The Question of Phonology and Reading: Guy C. Van Orden and Heidi Kloos (Arizona State University). 5. Eye Movements During Reading: Keith Rayner, Barbara J. Juhasz, and Alexander Pollatsek (University of Massachusetts). Part II: Learning to Read and Spell:. Editorial Part II. 6. Theories of Learning to Read: Brian Byrne (University of New England, Australia). 7. Writing Systems and Spelling Development: Rebecca Treiman and Brett Kessler (Washington University in St Louis). 8. Development of Sight Word Reading: Phases and Findings: Linnea C. Ehri (Graduate Center of the City University of New York). 9. Predicting Individual Differences in Learning to Read: Judith A. Bowey (University of Queensland). 10. Social Correlates of Emergent Literacy: Beth M. Phillips and Christopher J. Lonigan (Florida Center for Reading Research, Florida State University). 11. Literacy and Cognitive Change: Jose Morais and Regine Kolinsk (Universite Libre de Bruxelles, Belgium). Part III: Reading Comprehension:. Editorial Part III. 12. Comprehension: Walter Kintsch and Katherine A. Rawson (University of Colorado). 13. The Acquisition of Reading Comprehension Skill: Charles A. Perfetti, Nicole Landi and Jane Oakhill (University of Pittsburgh). 14. Children's Reading Comprehension Difficulties: Kate A. Nation (University of Oxford). Part IV: Reading in Different Languages:. Editorial Part IV. 15. Orthographic Systems and Skilled Word Recognition Processes in Reading: Ram Frost (The Hebrew University, Israel). 16. Early Reading Development in European Orthographies: Philip H. K. Seymour (University of Dundee, UK). 17. Learning to Read in Chinese: J. Richard Hanley (University of Essex, UK). 18. The Nature and Causes of Dyslexia in Different Languages: Marketa Caravolas (University of Liverpool). Part V: Disorders of Reading and Spelling:. Editorial Part V. 19. Developmental Dyslexia: Frank R. Vellutino and Jack M. Fletcher (State University of New York, at Albany). 20. Learning to Read with a Hearing Impairment: Jacqueline Leybaert (Universite Libre de Bruxelles, Belgium). 21. Learning to Read with a Language Impairment: Margaret J. Snowling and Charles Hulme (University of York, UK). 22. Acquired Disorders of Reading: Matthew A. Lambon Ralph (University of Manchester) and Karalyn Patterson (University of Cambridge). 23. Spelling Disorders: Cristina Romani (University of Aston, UK), Andrew Olson (University of Birmingham, UK), and Anna Maria DiBetta (University of Aston). Part VI: Biological Bases of Reading:. Editorial Part VI. 24. Genetics of Dyslexia: Bruce F. Pennington (University of Denver) and Richard K. Olson (University of Colorado). 25. Functional Brain Imaging Studies of Skilled Reading and Developmental Dyslexia: Cathy J. Price (University College London) and Eamon McCrory (Institute of Psychiatry, UK). Part VII: Teaching Reading:. Editorial Part VII. 26. Teaching Children to Read: What Do We Know About How To Do It?: Catherine E. Snow (Harvard Graduate School of Education) and Connie Juel (Stanford University). 27. Recent Discoveries from Research on Remedial Interventions for Children with Dyslexia: Joseph K. Torgesen (Florida Center for Reading Research at Florida State University). Glossary of Terms. References. Author Index. Subject Index"
738,2037740454,reading development in young children genetic and environmental influences,2013,10.1111/cdev.12104,Child Development,"Jessica A. R. Logan, Sara A. Hart, Laurie E. Cutting, Kirby Deater-Deckard, Christopher Schatschneider, Stephen A. Petrill","The development of reading skills in typical students is commonly described as a rapid growth across early grades of active reading education, with a slowing down of growth as active instruction tapers. This study examined the extent to which genetics and environments influence these growth rates. Participants were 371 twin pairs, aged approximately 6 through 12, from the Western Reserve Reading Project. Development of word-level reading, reading comprehension, and rapid naming was examined using genetically sensitive latent quadratic growth curve modeling. Results confirmed the developmental trajectory described in the phenotypic literature. Furthermore, the same shared environmental influences were related to early reading skills and subsequent growth, but genetic influences on these factors were unique."
